country,player,club,forward_or_back,stat,count
France,Dorian Aldegheri,Toulouse,Forward,six_nations_matches,4
France,Dorian Aldegheri,Toulouse,Forward,six_nations_start,0
France,Dorian Aldegheri,Toulouse,Forward,six_nations_sub,4
France,Dorian Aldegheri,Toulouse,Forward,six_nations_pts,0
France,Dorian Aldegheri,Toulouse,Forward,six_nations_tries,0
France,Dorian Aldegheri,Toulouse,Forward,six_nations_conv,0
France,Dorian Aldegheri,Toulouse,Forward,six_nations_penalties,0
France,Dorian Aldegheri,Toulouse,Forward,six_nations_drop,0
France,Dorian Aldegheri,Toulouse,Forward,x2019_metres_gained,6
France,Dorian Aldegheri,Toulouse,Forward,x2019_carries,5
France,Dorian Aldegheri,Toulouse,Forward,x2019_six_nations_metres_per_carry,1.2
France,Dorian Aldegheri,Toulouse,Forward,x2019_minutes_played,56
France,Dorian Aldegheri,Toulouse,Forward,x2019_points,0
France,Dorian Aldegheri,Toulouse,Forward,x2019_tries,0
France,Dorian Aldegheri,Toulouse,Forward,x2019_try_assists,0
France,Dorian Aldegheri,Toulouse,Forward,x2019_conversions,0
France,Dorian Aldegheri,Toulouse,Forward,x2019_penalty_goals,0
France,Dorian Aldegheri,Toulouse,Forward,x2019_drop_goals,0
France,Dorian Aldegheri,Toulouse,Forward,x2019_defenders_beaten,1
France,Dorian Aldegheri,Toulouse,Forward,x2019_clean_breaks,1
France,Dorian Aldegheri,Toulouse,Forward,x2019_gain_line_successes,2
France,Dorian Aldegheri,Toulouse,Forward,x2019_interceptions,0
France,Dorian Aldegheri,Toulouse,Forward,x2019_passes_made,0
France,Dorian Aldegheri,Toulouse,Forward,x2019_off_loads_made,0
France,Dorian Aldegheri,Toulouse,Forward,x2019_tackles_made,8
France,Dorian Aldegheri,Toulouse,Forward,x2019_missed_tackles,3
France,Dorian Aldegheri,Toulouse,Forward,x2019_turnovers_won,0
France,Dorian Aldegheri,Toulouse,Forward,x2019_turnovers_conceded,1
France,Dorian Aldegheri,Toulouse,Forward,x2019_handling_errors,1
France,Dorian Aldegheri,Toulouse,Forward,x2019_penalties_conceded,4
France,Dorian Aldegheri,Toulouse,Forward,x2019_kicks_from_hand,0
France,Dorian Aldegheri,Toulouse,Forward,x2019_kicks_caught,0
France,Dorian Aldegheri,Toulouse,Forward,x2019_successful_lineout_takes,0
France,Dorian Aldegheri,Toulouse,Forward,x2019_stolen_lineouts,0
France,Dorian Aldegheri,Toulouse,Forward,x2019_yellow_cards,1
France,Dorian Aldegheri,Toulouse,Forward,x2019_red_cards,0
France,Cyril Baille,Toulouse,Forward,six_nations_matches,5
France,Cyril Baille,Toulouse,Forward,six_nations_start,5
France,Cyril Baille,Toulouse,Forward,six_nations_sub,0
France,Cyril Baille,Toulouse,Forward,six_nations_pts,0
France,Cyril Baille,Toulouse,Forward,six_nations_tries,0
France,Cyril Baille,Toulouse,Forward,six_nations_conv,0
France,Cyril Baille,Toulouse,Forward,six_nations_penalties,0
France,Cyril Baille,Toulouse,Forward,six_nations_drop,0
France,Cyril Baille,Toulouse,Forward,scrum_score,71
France,Cyril Baille,Toulouse,Forward,lineout_score,75
France,Demba Bamba,Brive,Forward,six_nations_matches,5
France,Demba Bamba,Brive,Forward,six_nations_start,4
France,Demba Bamba,Brive,Forward,six_nations_sub,1
France,Demba Bamba,Brive,Forward,six_nations_pts,0
France,Demba Bamba,Brive,Forward,six_nations_tries,0
France,Demba Bamba,Brive,Forward,six_nations_conv,0
France,Demba Bamba,Brive,Forward,six_nations_penalties,0
France,Demba Bamba,Brive,Forward,six_nations_drop,0
France,Demba Bamba,Brive,Forward,scrum_score,64
France,Demba Bamba,Brive,Forward,lineout_score,73
France,Demba Bamba,Brive,Forward,x2019_metres_gained,54
France,Demba Bamba,Brive,Forward,x2019_carries,42
France,Demba Bamba,Brive,Forward,x2019_six_nations_metres_per_carry,1.2857142857142858
France,Demba Bamba,Brive,Forward,x2019_minutes_played,303
France,Demba Bamba,Brive,Forward,x2019_points,0
France,Demba Bamba,Brive,Forward,x2019_tries,0
France,Demba Bamba,Brive,Forward,x2019_try_assists,0
France,Demba Bamba,Brive,Forward,x2019_conversions,0
France,Demba Bamba,Brive,Forward,x2019_penalty_goals,0
France,Demba Bamba,Brive,Forward,x2019_drop_goals,0
France,Demba Bamba,Brive,Forward,x2019_defenders_beaten,14
France,Demba Bamba,Brive,Forward,x2019_clean_breaks,0
France,Demba Bamba,Brive,Forward,x2019_gain_line_successes,22
France,Demba Bamba,Brive,Forward,x2019_interceptions,0
France,Demba Bamba,Brive,Forward,x2019_passes_made,4
France,Demba Bamba,Brive,Forward,x2019_off_loads_made,3
France,Demba Bamba,Brive,Forward,x2019_tackles_made,38
France,Demba Bamba,Brive,Forward,x2019_missed_tackles,5
France,Demba Bamba,Brive,Forward,x2019_turnovers_won,0
France,Demba Bamba,Brive,Forward,x2019_turnovers_conceded,5
France,Demba Bamba,Brive,Forward,x2019_handling_errors,4
France,Demba Bamba,Brive,Forward,x2019_penalties_conceded,8
France,Demba Bamba,Brive,Forward,x2019_kicks_from_hand,0
France,Demba Bamba,Brive,Forward,x2019_kicks_caught,0
France,Demba Bamba,Brive,Forward,x2019_successful_lineout_takes,1
France,Demba Bamba,Brive,Forward,x2019_stolen_lineouts,0
France,Demba Bamba,Brive,Forward,x2019_yellow_cards,0
France,Demba Bamba,Brive,Forward,x2019_red_cards,0
France,Camille Chat,Racing 92,Forward,six_nations_matches,9
France,Camille Chat,Racing 92,Forward,six_nations_start,0
France,Camille Chat,Racing 92,Forward,six_nations_sub,9
France,Camille Chat,Racing 92,Forward,six_nations_pts,5
France,Camille Chat,Racing 92,Forward,six_nations_tries,1
France,Camille Chat,Racing 92,Forward,six_nations_conv,0
France,Camille Chat,Racing 92,Forward,six_nations_penalties,0
France,Camille Chat,Racing 92,Forward,six_nations_drop,0
France,Camille Chat,Racing 92,Forward,scrum_score,66
France,Camille Chat,Racing 92,Forward,lineout_score,78
France,Camille Chat,Racing 92,Forward,jackal,86
France,Camille Chat,Racing 92,Forward,x2019_metres_gained,39
France,Camille Chat,Racing 92,Forward,x2019_carries,10
France,Camille Chat,Racing 92,Forward,x2019_six_nations_metres_per_carry,3.9
France,Camille Chat,Racing 92,Forward,x2019_minutes_played,82
France,Camille Chat,Racing 92,Forward,x2019_points,5
France,Camille Chat,Racing 92,Forward,x2019_tries,1
France,Camille Chat,Racing 92,Forward,x2019_try_assists,0
